Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words I considered important was difficult.",Why?,Please briefly describe your process for selecting the words you considered important.,What characteristics of a word or phrase made you select a particular word as important?,"Think about a case where you considered selecting a particular word as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words as important.","What, if anything, could have been more clear about the instructions you were given for selecting words as important?",Please briefly describe the order in which you selected the words you considered important.,"Please respond to the following statement:When selecting words that I considered important, I selected only words that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Start Date,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-07 17:42:49,Disagree,In the majority of cases the choice of language made the writers opinion clear,I looked for key descriptive words or words that conveyed the writers emotion,"It was often immediately clear from the opening line what the writers opinion was; however, I carefully read the full review to identify whether this opinion shifted. When review concluded with a recommendation this also makes the writers opinion completely clear.",I found the instructions to be clear,I found the interfaces straightforward and simple to use - and encountered no issues,,,,,,,,,,,Somewhat agree,While emotive words are often easy to identify their meaning can often change depending on the context,I attempted to choose words that were unambiguously positive or negative - and would be unlikely to be used if offering a contra opinion,I attempted to go for simple descriptive or emotive words,"Similar to what I have outlined above, there were occasions where the meaning of a word could change depending on the context or inclusion of additional adverbs e.g. great vs. not great or good vs. not very good.",I thought the instructions were clear so apologies if I have not followed them correctly,I re-read from the beginning of review and worked through to the end clicking on words that I felt clearly conveyed positive or negative feelings,Agree,I think I've touched upon this previously - in an effort to help algorithm avoid such words i.e. great could mean good but if it was preceded by not then this would mean bad so not possible to say that all reviews that contain word great are positive ,Again I found this interface simple and straightforward to use with no issues or errors,35 - 44,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,92452,2021-09-07 16:50:48,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:43:38,Disagree,reviews were transparent and readable.,I was reading and looking for adjectives which described negatively or positively,Mostly I focused on the end and a little less often the beggining.,it was clear,it was good and without errors,Disagree,words were clear and simple,"words had positive or negative meaning, adjectives specifically","meaning of the words, positive or negative ",because some words did not describe and show type of the review,was clear,I was reading from the begging so I started select words from there,Strongly disagree,"Same sentences could relate to different things, for example some negative adjective can emphasize the positive of something",was good,,,,,,,,,,,18 - 24,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,No,,61056,2021-09-07 16:50:40,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:44:02,Disagree,In most cases it was fairly obvious what direction the review was going,looking for key words and phrases that would give me an insight to the review as a whole,"the key wording described before, positive or negative wording to describe the plot or the acting",Instructions very clear,All was good for me,Disagree,It was fairly easy to pick out positive or negative wording and phrases,I picked out the key words the described the tone of the review,How impactful it was to the review as a whole,A few times I changed my mind as it sometimes wasn't relevant to the review and more an analogy from the writer,Nothing,I went from top to bottom and selected from there,Disagree,Not all words or phrases would have the same context in all reviews,No issues,,,,,,,,,,,25 - 34,Man,,,,,,,White or Caucasian,,,,Associate's degree,,Prefer not to say,Prefer not to say,Yes,,40532,2021-09-07 17:22:10,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,22
2021-09-07 17:45:21,Somewhat disagree,Apart from one review which seemed neutral all the rest were straight forward and I could tell by the words being used if the review was positive or negative,I concontrated in the words and description of the films used in the reviews some were easier than others,The words and the descriptions of the film and its actors,The instruction were clear,Easier drag function for phrases worked ok but could have been better,Somewhat agree,Was unsure if I should just select the most prominante word or the phrase that accomponied it.,The context of the word and if it was best as a stand alone word or with the phrase,Positive and negative words and there meanings,It was more aimed at a cast member than the film itself,the instructions were fine ,If they were negative or positive words and how they fit in the phrases of the reviews,Somewhat agree,The words could only have a positive or negative meaning and most people would know this reading any review,The interfaces were fine and easy to use apart from the drag function this was tricky when selecting phrases,,,,,,,,,,,45 - 54,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,Interesting survey,30586,2021-09-07 16:55:48,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:45:21,Somewhat disagree,You just read what they say and determine if it is good or bad. It's not that hard,If they spoke negatively of the movie i would mark it as such. Same with positive reviews.,The words,Nothing. They were perfectly clear,Nothing. It's awesome.,Disagree,It was pretty easy with a little reading comprehension ,If they were positive or negative i would mark them as such,Negative words and positive words,There was one that described another movie while reviewing a different one. I didn't know if i should select the negative words about that.,Nothing,"I'm not sure how to answer this question. There was really no order, just reading through.",Agree,Because that was the task,Nothing,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,94442,2021-09-07 16:50:43,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:50:11,Somewhat disagree,Most of the samples were quite clear in their intention,Look out for negative statements and negative words,Mostly the introduction and ending paragraphs,The instructions were clear and good,I thought that it was well presented and I experienced no issues or errors. A very good interesting study.,Somewhat disagree,It is easy to recognize negative words and tones,Looked for positive or negative adjectives,Positive or negative adjectives,When they were not strongly worded or slightly ambiguous,I thought the instructions we,Beginning to end,Somewhat agree,Words are either positive or negative and explain things strongly,I thought the user interface was very clear and I encountered no errors. A very good interesting study,,,,,,,,,,,45 - 54,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,Good interesting study,15083,2021-09-07 16:50:44,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:51:27,Disagree,It was mostly apparent within the first few sentences whether the review was postive or negative just from the keywords they used. Some were a bit more ambigious though such as the Martin Scorcese review. It seemed up to interpretation.,"The first sentence usually gave away immedietly the person's thoughts on the film. The overall tone of the review, and the closing sentence of whether or not they recommend it helped. Keywords trhoughout helped as well, such as ""hate."" ","The beginning and end usually tell you instantly. Also skim the middle for phrases about different as[ects of the film, such as the acting.",All perfectly clear. Some seemed mixed so maybe that could have been an option.,No issues with the interface.,Disagree,"Strong words such as hate or loved were obvious to pick, but very specific phrases only relevent to this film, I weren't sure if the algorithm would learn from for future movies, so I wasn't sure if I should pick them.",They had to be unambigious words  or phrases which definitely mean one or the other. Skim through the text after the first read for more obvious words.,I usually tried to pick the shorter unambiguous phrases which could be viably used for any other movie review. I selected describing words. ,"I considered selecting a sentence where the reviewer describes the plot of the film, but didn't as I realised this is neither positive or negative, even though it sounded interesting and could get the reader's attention, the film could still be bad.",It was all clear.,"I read through from the beginning and made my way through, doing a quick re-read of the unhighlighted sections at the end.",Agree,"Because this would leave no room for interpretaion for the algorithm whether the review was postive or negative, helping it categorize objectively.",Nothing.,,,,,,,,,,,18 - 24,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,Yes,No,Yes,,46995,2021-09-07 16:50:35,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:54:07,Strongly disagree,It was not difficult as the review were self explanatory.,I read through all the words on each reviews with a high level of understanding what the reviewer is trying to pass across.,"The content, how the reviewer passed his or her information on the said movie.",The instruction are clear enough to understand the assignment of the experiment.,I did not encounter any form of issue throughout the experiment. The user interfaces are friendly as well.,Disagree,The word or phrases can be easily highlighted with ease.,The read through all the words and highlight the few key words.,Words and phrases that gives the direct mind of the reviewers.,Some word or phrase may look good for highlighting at the first read but when you read through again you realize they are not as good as initially considered.,The instructions are clear.,I chose the words and phrases in order of the sentences.,Agree,The words and phrases were the one who even a lay man would be able to relate with and understand.,None.,,,,,,,,,,,25 - 34,Woman,,,,,,,,Prefer to self-describe,,Mixed,Master's degree,,No,No,Yes,,22891,2021-09-07 16:52:40,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:59:22,Disagree,For 9 of the 10 reviews I could be certain whether the review was positive or negative based on just the first couple of sentences.,I checked for words and phrases expressing enjoyment/dislike of the film or comparing it positively or negatively to other films.,Often in either the first or last lines there's a simple statement about how good or bad the reviewer thinks the movie is. The middle section of the review sometimes reinforces this but sometimes only serves to provide a plot overview.,I think the instructions given were sufficiently clear.,I can't think of any improvements you could make.,Somewhat agree,"In some reviews there were only a couple of obvious elements of praise or criticism, so it was easy to pick those out. In others the reviewer's opinion wasn't so directly stated in a few easy-to-choose words, or the reviewer peppered in so many positive or negative words that it was difficult to choose which were most meaningful.",I aimed at strongly positive or negative words and phrases which matched the general tone of the review. ,"Words or phrases which described the review author's overall opinion of the film were the first ones I focused on. I tried to include context (such as ""good film"" instead of just ""good"") where I could.",In the review about the Chuck Norris film I considered selecting several whole sentences which explained the reviewer's disappointment with the film. I eventually decided against highlighting them because I'd been able to select enough single words and shorter phrases which made the point more succinctly.,Some more examples of words and phrases being picked out would have helped me be more confident that I wasn't over- or under-highlighting things.,"I chose words and phrases which matched the tone of the review. Most important were those which described the overall film and the reviewer's opinion of it, and after identifying those I looked for words and phrases which described specific elements (acting/direction/effects).",Agree,Most of the words and phrases I came across would be similarly positive or negative if used for other films.,"You already asked me this question I think? Maybe that was just about the word selection interface. Anyway, I didn't have any problems and don't have any immediate ideas for improvement.",,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,Yes,Yes,I did consider saying on page 3 of this survey that I tried to choose phrases which a computer could be expected to identify but didn't think that would be relevant. I really was concerned about those overall positive reviews which included negative words or phrases as part of larger sentences.,77406,2021-09-07 16:55:22,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 18:03:06,Disagree,The words used in the the reviews makes it easy to determine how  positive or negative they are.,I carefully noted keywords in the reviews,The keywords,N/A,N/A,Somewhat agree,Some words were actually not meant for both positive and negative aspects,Selected the words based on how they were used the sentences,The intensity ,N/A,N/A,I made a careful selected based on how the words were used in a context,Neither agree nor disagree,I selected words and phrases I considered as positive or negative,N/A,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,18491,2021-09-07 16:51:12,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 18:07:49,Disagree,Because I could easily understand .,I read and tried to understand every sentence first to understand. I though from the place of those who responded.,I have tried to understand each part with equal importance and focus.,Nothing else.,"I never encountered any issue , I think it works fine. ",Disagree,Because I can easily understand.,I just focus positive and negative word and phrases.,Positive and negative phrase and word.,When I face little confuse about this. ,Nothing.,Positive and negative word.,Agree,Because I try to understand each sentence and select specific word that only means positive or negative.,I don't face any problem.,,,,,,,,,,,18 - 24,Woman,,Asian,,,,,,,,,High School or equivalent,,No,No,Yes,,81953,2021-09-07 16:51:30,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 18:08:33,Strongly disagree,The various authors of the movie reviews usually showed their emotional response to the film in the first sentence which stayed consistent positive or negative with the rest of the review,I read the review looking for emotional reaction phrases and then make sure they are referring to their own experience watching the film instead of an experience in the movie.,"It was usually given away in the first or second sentence, and almost always repeated in the last sentence.",Instructions could not have been more clear.,"I was actually very impressed with how well the highlighting system worked, I found out on my own that you could right click to remove a highlighted word which wasn't explained in the instructions so maybe you could include that.",Disagree,"It was fairly simply determining the important phrases, the only slightly difficult part was determining if they were talking about a movie scene or their reaction to the movie scene",I looked for emotional buzz words and then checked to see if they were talking about the movie scene or their reaction to the movie scene.,I typically looked for emotional buzz words like feelings.,I was going to select one word or phase between then realized that they were describing something inside the movie and not their reaction to the movie.,Instructions were perfect.,I just read the reviews and selected them in the order I read them from top to bottom selecting along the way.,Agree,"I didn't exactly set out to only pick phrases that if they appeared in other reviews would also suggest the same sentiment, it just happened to work out that the words and phrases I selected fit that description.","I was surprised how good the interface was, the only helpful suggestion I have would be to specify that you can right click to remove a highlight in case you misclick",,,,,,,,,,,25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,49527,2021-09-07 16:55:01,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 18:46:46,Strongly disagree,It is extremely easy to see how the reviewer felt about the movie. ,I looked at the word choice and the overall tone.,I focused on the first few and last few sentences.,Nothing. It was already clear enough. ,Nothing.,,,,,,,,,,,Disagree,"There are obviously words that are positive and negative, and they are easy to pick out.",I choose the words with the most positivity or negativity. ,They had to be strong. ,"Sometimes, the words themselves are not important enough. ",Nothing. The instructions were already clear enough. ,I went from the beginning to the end. ,Agree,"If a word is negative or positive, it would suggest the same thing regardless of the movie. ",Nothing.,25 - 34,Man,,,,,,,White or Caucasian,,,,Master's degree,,Yes,Yes,Yes,,13303,2021-09-07 17:25:34,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
